iter	Passed	Remaining
727	298769	193708
728	299173	193292
729	299569	192873
730	299972	192458
731	300395	192055
732	300792	191637
733	301192	191220
734	301588	190800
735	301993	190387
736	302415	189984
737	302836	189580
738	303211	189148
739	303616	188734
740	304034	188328
741	304420	187903
742	304819	187486
743	305227	187074
744	305616	186651
745	306013	186233
746	306421	185821
747	306823	185406
748	307236	184998
749	307627	184576
750	308024	184158
751	308447	183755
752	308827	183327
753	309242	182920
754	309659	182514
755	310067	182103
756	310446	181674
757	310844	181257
758	311276	180859
759	311718	180468
760	312137	180063
761	312540	179649
762	312923	179223
763	313321	178806
764	313724	178392
765	314149	177990
766	314558	177580
767	314993	177184
768	315400	176771
769	315809	176361
770	316223	175953
771	316663	175559
772	317086	175156
773	317498	174747
774	317884	174323
775	318288	173910
776	318694	173497
777	319085	173077
778	319520	172680
779	319925	172267
780	320324	171851
781	320747	171447
782	321158	171038
783	321584	170636
784	322003	170231
785	322421	169824
786	322865	169432
787	323280	169024
788	323669	168603
789	324081	168194
790	324508	167792
791	324959	167403
792	325402	167009
793	325837	166612
794	326236	166195
795	326663	165794
796	327078	165385
797	327527	164995
798	327913	164572
799	328325	164162
800	328733	163750
801	329139	163338
802	329558	162932
803	329967	162521
804	330382	162113
805	330780	161696
806	331196	161289
807	331615	160882
808	332009	160464
809	332414	160051
810	332805	159631
811	333212	159219
812	333606	158801
813	334013	158389
814	334420	157977
815	334818	157561
816	335209	157142
817	335626	156735
818	336026	156320
819	336428	155905
820	336848	155499
821	337249	155085
822	337701	154694
823	338114	154285
824	338521	153873
825	338933	153463
826	339359	153060
827	339756	152644
828	340188	152243
829	340573	151821
830	340963	151402
831	341346	150980
832	341758	150570
833	342161	150157
834	342576	149748
835	343002	149345
836	343394	148927
837	343784	148508
838	344177	148090
839	344597	147684
840	345030	147283
841	345427	146868
842	345793	146439
843	346206	146030
844	346604	145615
845	346994	145196
846	347417	144791
847	347815	144376
848	348223	143965
849	348615	143547
850	348998	143126
851	349396	142711
852	349830	142310
853	350262	141909
854	350703	141512
855	351120	141104
856	351523	140691
857	351930	140279
858	352366	139879
859	352803	139480
860	353218	139072
861	353648	138669
862	354068	138263
863	354466	137848
864	354840	137423
865	355245	137011
866	355659	136602
867	356076	136195
868	356467	135777
869	356852	135357
870	357245	134941
871	357641	134525
872	358049	134114
873	358457	133703
874	358839	133283
875	359259	132876
876	359683	132471
877	360093	132061
878	360491	131647
879	360909	131239
880	361334	130834
881	361732	130420
882	362142	130010
883	362549	129599
884	362962	129190
885	363372	128779
886	363775	128367
887	364203	127963
888	364614	127553
889	365040	127148
890	365441	126735
891	365842	126322
892	366238	125907
893	366627	125490
894	367030	125077
895	367464	124675
896	367857	124259
897	368242	123841
898	368652	123430
899	369090	123030
900	369507	122622
901	369917	122212
902	370304	121794
903	370705	121381
904	371102	120967
905	371506	120555
906	371904	120141
907	372338	119738
908	372755	119331
909	373152	118916
910	373550	118502
911	373964	118094
912	374403	117693
913	374798	117278
914	375206	116867
915	375599	116452
916	376022	116046
917	376453	115642
918	376892	115241
919	377293	114828
920	377675	114409
921	378099	114003
922	378521	113597
923	378944	113191
924	379351	112780
925	379737	112363
926	380121	111945
927	380523	111532
928	380933	111122
929	381341	110712
930	381744	110300
931	382156	109890
932	382551	109476
933	382942	109060
934	383338	108646
935	383740	108234
936	384135	107820
937	384546	107410
938	384991	107010
939	385413	106603
940	385813	106190
941	386238	105785
942	386645	105374
943	387061	104965
944	387484	104559
945	387910	104153
946	388308	103740
947	388729	103333
948	389161	102928
949	389569	102518
950	389970	102105
951	390389	101698
952	390822	101293
953	391238	100885
954	391646	100474
955	392061	100065
956	392497	99662
957	392891	99248
958	393289	98835
959	393711	98427
960	394135	98021
961	394556	97613
962	394954	97200
963	395341	96784
964	395772	96379
965	396178	95968
966	396591	95559
967	397000	95148
968	397403	94736
969	397835	94332
970	398249	93922
971	398659	93512
972	399054	93098
973	399492	92695
974	399926	92290
975	400345	91882
976	400751	91471
977	401139	91056
978	401521	90639
979	401947	90233
980	402348	89820
981	402771	89413
982	403177	89002
983	403559	88586
984	403948	88171
985	404350	87759
986	404757	87348
987	405143	86933
988	405539	86520
989	405959	86112
990	406376	85704
991	406780	85292
992	407180	84880
993	407599	84472
994	408008	84062
995	408439	83656
996	408855	83247
997	409256	82835
998	409674	82427
999	410078	82015
1000	410504	81608
1001	410900	81195
1002	411325	80788
1003	411758	80383
1004	412182	79975
1005	412607	79568
1006	412998	79154
1007	413420	78746
1008	413826	78335
1009	414234	77925
1010	414614	77509
1011	415035	77101
1012	415452	76692
1013	415889	76287
1014	416288	75875
1015	416701	75465
1016	417100	75053
1017	417509	74643
1018	417935	74235
1019	418376	73831
1020	418809	73425
1021	419221	73015
1022	419641	72606
1023	420049	72195
1024	420456	71785
1025	420868	71375
1026	421294	70967
1027	421709	70558
1028	422133	70150
1029	422549	69741
1030	422972	69333
1031	423399	68925
1032	423807	68514
1033	424195	68100
1034	424601	67690
1035	425009	67279
1036	425438	66872
1037	425832	66459
1038	426262	66052
1039	426677	65642
1040	427105	65235
1041	427512	64824
1042	427924	64414
1043	428338	64004
1044	428743	63593
1045	429133	63180
1046	429528	62767
1047	429946	62358
1048	430335	61945
1049	430759	61537
1050	431166	61126
1051	431572	60715
1052	431974	60304
1053	432378	59893
1054	432796	59483
1055	433221	59075
1056	433618	58663
1057	434034	58254
1058	434428	57841
1059	434836	57431
1060	435225	57018
1061	435622	56606
1062	436046	56197
1063	436446	55786
1064	436855	55376
1065	437269	54966
1066	437668	54554
1067	438054	54141
1068	438458	53730
1069	438852	53318
1070	439256	52907
1071	439642	52494
1072	440039	52082
1073	440438	51671
1074	440835	51259
1075	441243	50849
1076	441676	50442
1077	442091	50032
1078	442479	49620
1079	442886	49209
1080	443311	48801
1081	443745	48393
1082	444161	47984
1083	444595	47576
1084	445001	47166
1085	445405	46755
1086	445836	46347
1087	446250	45937
1088	446673	45528
1089	447075	45117
1090	447500	44709
1091	447907	44298
1092	448301	43886
1093	448704	43475
1094	449110	43065
1095	449538	42656
1096	449948	42246
1097	450353	41836
1098	450760	41425
1099	451167	41015
1100	451552	40602
1101	451971	40193
1102	452378	39783
1103	452796	39373
1104	453236	38966
1105	453659	38556
1106	454080	38147
1107	454475	37736
1108	454857	37323
1109	455292	36915
1110	455707	36505
1111	456092	36093
1112	456502	35683
1113	456951	35276
1114	457372	34866
1115	457791	34457
1116	458209	34047
1117	458605	33636
1118	459015	33226
1119	459455	32818
1120	459883	32409
1121	460267	31997
1122	460672	31586
1123	461087	31176
1124	461481	30765
1125	461887	30354
1126	462290	29944
1127	462695	29533
1128	463117	29124
1129	463524	28713
1130	463938	28303
1131	464342	27893
1132	464757	27483
1133	465151	27072
1134	465531	26660
1135	465937	26249
1136	466340	25839
1137	466764	25430
1138	467176	25019
1139	467587	24609
1140	467977	24198
1141	468364	23787
1142	468756	23376
1143	469165	22966
1144	469576	22556
1145	469980	22145
1146	470380	21735
1147	470761	21323
1148	471181	20914
1149	471626	20505
1150	472044	20095
1151	472454	19685
1152	472849	19274
1153	473239	18863
1154	473644	18453
1155	474054	18043
1156	474455	17633
1157	474864	17223
1158	475267	16812
1159	475658	16402
1160	476056	15991
1161	476460	15581
1162	476866	15171
1163	477249	14760
1164	477648	14349
1165	478052	13939
1166	478438	13529
1167	478841	13118
1168	479244	12708
1169	479637	12298
1170	480034	11888
1171	480429	11477
1172	480826	11067
1173	481228	10657
1174	481617	10247
1175	482014	9837
1176	482437	9427
1177	482848	9017
1178	483252	8607
1179	483666	8197
1180	484080	7787
1181	484503	7378
1182	484901	6968
1183	485289	6557
1184	485691	6147
1185	486106	5738
1186	486510	5328
1187	486899	4918
1188	487295	4508
1189	487691	4098
1190	488095	3688
1191	488492	3278
1192	488867	2868
1193	489260	2458
1194	489684	2048
1195	490084	1639
1196	490485	1229
1197	490890	819
1198	491268	409
1199	491679	0
